"StichtagDatJahr","DatenstandCd","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"D","Baron",2003,"1","männlich",1,1
2015,"D","Baron",2008,"1","männlich",1,1
2015,"D","Baronessa",2012,"2","weiblich",2,1
2015,"D","Barry aus dem Dudelsack",2011,"1","männlich",1,1
2015,"D","Bartok",2012,"1","männlich",1,1
2015,"D","Barzoi",2006,"1","männlich",1,1
2015,"D","Baschi",2004,"1","männlich",1,1
2015,"D","Baschi",2006,"1","männlich",1,1
2015,"D","Basco",2014,"1","männlich",1,1
2015,"D","Basheera von Camelot",2012,"2","weiblich",2,1
2015,"D","Bashira",2005,"2","weiblich",2,1
2015,"D","Bashkim",2002,"1","männlich",1,1
2015,"D","Basho",2005,"1","männlich",1,1
2015,"D","Basil",2006,"1","männlich",1,1
2015,"D","Basil",2009,"1","männlich",1,2
2015,"D","Basil (Best)",2006,"1","männlich",1,1
2015,"D","Baska",2007,"2","weiblich",2,1
2015,"D","Baslis Hermes vom Moosacher",2011,"1","männlich",1,1
2015,"D","Bass",2011,"1","männlich",1,1
2015,"D","Basti",2007,"1","männlich",1,1
2015,"D","Bastille",2002,"2","weiblich",2,1
2015,"D","Batista (Esö)",2007,"1","männlich",1,1
2015,"D","Batman",2013,"1","männlich",1,1
2015,"D","Bator",2009,"1","männlich",1,1
2015,"D","Baxy",2013,"1","männlich",1,1
2015,"D","Bay",2006,"2","weiblich",2,1
2015,"D","Baylis",2005,"2","weiblich",2,1
2015,"D","Bea",2009,"2","weiblich",2,1
2015,"D","Beans",2006,"1","männlich",1,1
2015,"D","Bearly v. Weinhäusel",2013,"2","weiblich",2,1
2015,"D","Beatrice",2010,"2","weiblich",2,1
2015,"D","Beau",2009,"1","männlich",1,1
2015,"D","Beeny",2015,"2","weiblich",2,1
2015,"D","Beija",2013,"2","weiblich",2,1
2015,"D","Bekas",2011,"1","männlich",1,1
2015,"D","Bel Ami",2005,"1","männlich",1,1
2015,"D","Bela",2010,"2","weiblich",2,1
2015,"D","Belette",2006,"2","weiblich",2,1
2015,"D","Belinda",2014,"2","weiblich",2,1
